gene_name,gene_type
EBF1,transcription_factor
ETV1,transcription_factor
SPI1,transcription_factor
ELF4,transcription_factor
ETV2,transcription_factor
ERF,transcription_factor
ELK3,transcription_factor
ETV3,transcription_factor
ELF1,transcription_factor
SPDEF,transcription_factor
ELK1,transcription_factor
ELF5,transcription_factor
ETV6,transcription_factor
FLI1,transcription_factor
GABPA,transcription_factor
ELK4,transcription_factor
ELF3,transcription_factor
FEV,transcription_factor
SPIC,transcription_factor
ETV4,transcription_factor
ETV5,transcription_factor
FOXP3,transcription_factor
FOXJ2,transcription_factor
FOXO3,transcription_factor
FOXO1,transcription_factor
FOXI1,transcription_factor
FOXB1,transcription_factor
FOXL1,transcription_factor
FOXC2,transcription_factor
FOXO4,transcription_factor
FOXD2,transcription_factor
FOXD3,transcription_factor
FOXO6,transcription_factor
GATA3,transcription_factor
GATA5,transcription_factor
GATA4,transcription_factor
GCM2,transcription_factor
GRHL1,transcription_factor
TFCP2,transcription_factor
MEOX1,transcription_factor
DLX6,transcription_factor
ALX4,transcription_factor
GSC2,transcription_factor
PITX1,transcription_factor
HOXA9,transcription_factor
RHOXF1,transcription_factor
MEIS3,transcription_factor
DLX5,transcription_factor
HOXA1,transcription_factor
HOXA13,transcription_factor
EVX1,transcription_factor
MEOX2,transcription_factor
PITX3,transcription_factor
DLX4,transcription_factor
CDX1,transcription_factor
OTX1,transcription_factor
DLX2,transcription_factor
PRRX1,transcription_factor
TGIF2,transcription_factor
HOXB5,transcription_factor
HOXB3,transcription_factor
HOXC13,transcription_factor
HOXC11,transcription_factor
HOXC12,transcription_factor
HOXD11,transcription_factor
MNX1,transcription_factor
BARX1,transcription_factor
GSC,transcription_factor
RAX,transcription_factor
HNF1A,transcription_factor
LMX1B,transcription_factor
PDX1,transcription_factor
BARHL2,transcription_factor
MEIS1,transcription_factor
DLX1,transcription_factor
HMBOX1,transcription_factor
VAX1,transcription_factor
TGIF2LX,transcription_factor
ALX3,transcription_factor
ISL2,transcription_factor
PKNOX1,transcription_factor
LMX1A,transcription_factor
EN1,transcription_factor
MSX1,transcription_factor
EN2,transcription_factor
UNCX,transcription_factor
GBX1,transcription_factor
PHOX2A,transcription_factor
PKNOX2,transcription_factor
CDX2,transcription_factor
OTX2,transcription_factor
DRGX,transcription_factor
PRRX2,transcription_factor
GBX2,transcription_factor
SHOX2,transcription_factor
GSX1,transcription_factor
HOXD12,transcription_factor
EMX2,transcription_factor
IRX2,transcription_factor
HOXB2,transcription_factor
RAX2,transcription_factor
EVX2,transcription_factor
HOXD8,transcription_factor
IRX5,transcription_factor
TGIF1,transcription_factor
LBX2,transcription_factor
ALX1,transcription_factor
GSX2,transcription_factor
HOXC10,transcription_factor
MIXL1,transcription_factor
HMX3,transcription_factor
HMX2,transcription_factor
BSX,transcription_factor
DMBX1,transcription_factor
DPRX,transcription_factor
NOTO,transcription_factor
HOMEZ,transcription_factor
HMX1,transcription_factor
HNF1B,transcription_factor
PAX2,transcription_factor
POU1F1,transcription_factor
POU2F3,transcription_factor
POU4F2,transcription_factor
POU4F1,transcription_factor
POU3F2,transcription_factor
POU3F1,transcription_factor
POU3F3,transcription_factor
HSF4,transcription_factor
HSFY2,transcription_factor
HSF1,transcription_factor
IRF3,transcription_factor
IRF5,transcription_factor
IRF4,transcription_factor
IRF8,transcription_factor
IRF7,transcription_factor
IRF9,transcription_factor
MEF2A,transcription_factor
SRF,transcription_factor
MEF2D,transcription_factor
MEF2B,transcription_factor
MYBL2,transcription_factor
MYBL1,transcription_factor
RARB,transcription_factor
ESR1,transcription_factor
HNF4A,transcription_factor
VDR,transcription_factor
NR3C1,transcription_factor
ESRRB,transcription_factor
THRA,transcription_factor
RARA,transcription_factor
THRB,transcription_factor
NR4A2,transcription_factor
AR,transcription_factor
ESRRA,transcription_factor
NR2F1,transcription_factor
NR2C2,transcription_factor
RXRA,transcription_factor
ESRRG,transcription_factor
RXRB,transcription_factor
TP63,transcription_factor
PAX1,transcription_factor
PAX5,transcription_factor
PAX9,transcription_factor
PROX1,transcription_factor
NFKB2,transcription_factor
NFAT5,transcription_factor
NFKB1,transcription_factor
RFX4,transcription_factor
RFX5,transcription_factor
RUNX2,transcription_factor
GMEB2,transcription_factor
NFIX,transcription_factor
NFIB,transcription_factor
NFIA,transcription_factor
SMAD3,transcription_factor
SOX8,transcription_factor
SOX10,transcription_factor
SOX21,transcription_factor
SOX15,transcription_factor
LEF1,transcription_factor
TCF7L1,transcription_factor
SOX14,transcription_factor
SOX7,transcription_factor
SOX2,transcription_factor
SOX18,transcription_factor
TBX21,transcription_factor
TBX5,transcription_factor
TBX15,transcription_factor
TBX2,transcription_factor
TBX4,transcription_factor
TBR1,transcription_factor
TBX19,transcription_factor
TBX20,transcription_factor
TBX1,transcription_factor
TEAD3,transcription_factor
TEAD1,transcription_factor
TEAD4,transcription_factor
NRF1,transcription_factor
CPEB1,transcription_factor
PGR,transcription_factor
NR1I3,transcription_factor
NR1I2,transcription_factor
NFE2L1,transcription_factor
ATF2,transcription_factor
ATF6,transcription_factor
