cell_type,gene_name,logfoldchanges,pvals_adj,pct_nz_group
fibroblast,CDKN1A,34.621952,1.1928072130802557e-282,0.7824418867072895
fibroblast,PCOLCE,23.446367,3.2978633551000605e-282,0.7842849620100805
fibroblast,VCAN,30.07349,1.25130443738434e-281,0.7829684796509441
fibroblast,PRRX1,19.581232,6.845730229770977e-281,0.7649138644399308
fibroblast,KLF4,23.495068,7.03962277605967e-281,0.8202813510870383
fibroblast,AEBP1,7.281773,1.6477196521950406e-280,0.8605280974949221
fibroblast,DCLK1,21.058165,2.4081090813384126e-280,0.765478071165275
fibroblast,FGF7,19.159494,4.210393542107594e-279,0.7731512826299556
fibroblast,RARRES2,16.424028,1.0470469975010303e-277,0.7748439028059881
fibroblast,MAP1B,26.935606,3.0065345544031463e-276,0.7628451064470022
fibroblast,TIMP1,84.67433,8.532837355432253e-276,0.9687805611976228
fibroblast,GAS1,18.849945,5.651435403301728e-275,0.7602497555104191
fibroblast,ARID5B,9.305352,9.985554064833309e-274,0.8718498457834951
fibroblast,CST3,34.20075,1.93183855106606e-269,0.9938689535845934
fibroblast,SDC2,44.985973,3.592042686779677e-265,0.742646505679681
fibroblast,GNG11,2.2972586,8.256463500274196e-265,0.7794327841721207
fibroblast,MT2A,126.16121,3.8571130598153463e-264,0.9464379748739938
fibroblast,TNXB,15.522432,9.01371679143066e-261,0.7384713759121342
fibroblast,TSHZ2,14.840236,2.191015167222514e-260,0.7374934175882043
fibroblast,EMP2,12.151598,9.16920657891779e-259,0.7437749191303694
fibroblast,MT1M,32.74718,2.7824408649487916e-257,0.7322651019333484
fibroblast,ZFP36L1,25.944336,3.355878144024279e-257,0.9394418114797262
fibroblast,RHOB,16.585943,1.1899796231233712e-256,0.8964492590085007
fibroblast,MEDAG,43.04864,1.543420213083808e-256,0.7304220266305574
fibroblast,ABI3BP,31.132528,9.997850628461168e-256,0.7459941322500564
fibroblast,CCN5,32.615955,2.145311960492244e-255,0.7303091852854886
fibroblast,AOX1,18.5804,2.28798449482359e-255,0.7388475137290303
fibroblast,ABCA6,19.558895,2.4712907018887315e-255,0.7414428646656135
fibroblast,TGFBR2,9.768777,1.2705689047531837e-253,0.8542842097344467
fibroblast,MFGE8,4.864082,1.7208623381675563e-252,0.9074324832618671
fibroblast,PTGIS,32.050117,2.557335234142962e-252,0.7248928007221846
fibroblast,CXCL12,45.446,4.25802631946152e-251,0.724855186940495
fibroblast,PID1,20.084845,7.03391368830706e-251,0.7229368840743249
fibroblast,EGFR,20.64697,1.3837094276519675e-250,0.7224855186940495
fibroblast,ID3,23.96431,1.5057976446784736e-250,0.7295569096516964
fibroblast,IGF1,34.407913,1.1483059287262476e-248,0.720115850447604
fibroblast,GALNT15,37.28586,3.3435934431336807e-248,0.7200406228842248
fibroblast,IL1R1,12.903758,5.956522362469267e-248,0.7573158805386293
fibroblast,SELENOP,3.646329,3.0514640574659954e-247,0.9177010456631309
fibroblast,SH3D19,13.669573,6.78718963492616e-245,0.7434363950951629
fibroblast,MXRA7,3.9492376,3.62294744328219e-244,0.7727375310313699
fibroblast,ISLR,40.59232,2.6177650171422913e-243,0.7112766117505454
fibroblast,ERRFI1,17.240755,1.1128381753543727e-242,0.7123297976378545
fibroblast,VIT,19.4462,5.5605251375506325e-242,0.715188445046265
fibroblast,AKR1C1,7.697755,1.9028749552147988e-240,0.7470473181373656
fibroblast,MYL9,8.62289,7.036510767160957e-240,0.7817648386368765
fibroblast,RAMP2,21.51057,9.996584811336686e-240,0.7071767095463778
fibroblast,MT1X,42.77975,1.2037008470798668e-239,0.8325058301361619
fibroblast,SVEP1,32.813114,3.7836566464987205e-239,0.7063868201308959
fibroblast,RBMS3,18.079094,5.390819831404917e-239,0.7110509290604078
fibroblast,COL12A1,26.715055,1.9007157243342725e-238,0.7065748890393441
fibroblast,CD81,3.251271,2.657679746784696e-236,0.9751749040848567
fibroblast,CEBPB,8.454604,1.839377842091691e-235,0.9029564432408035
fibroblast,ABCA9,19.154903,2.8936434451947455e-234,0.7005942977506958
fibroblast,FERMT2,13.547508,3.7986642796722326e-234,0.6998796358985933
fibroblast,LGALS3BP,15.963626,1.1768476658545016e-232,0.7746934476792297
fibroblast,CILP,48.145584,1.63156478410875e-231,0.6959678026028737
fibroblast,SH3BP5,7.397122,1.711272759985162e-231,0.7570525840668021
fibroblast,HSPB6,14.023569,1.781704880747563e-231,0.7049198826450012
fibroblast,COL4A2,21.027176,1.9510152147226312e-231,0.6958549612578049
fibroblast,IL6ST,11.193954,2.0955397218172015e-230,0.8843752350861356
fibroblast,CAVIN3,40.470093,5.816086213111684e-230,0.6914165350184307
fibroblast,UAP1,40.56319,2.3980467060267673e-229,0.8070036861506056
fibroblast,FN1,21.373785,4.525213614856882e-229,0.7137215075603701
fibroblast,CDKN1C,7.1351323,1.8096141463626934e-223,0.7915444218761755
fibroblast,ADAMTS1,23.172512,2.503776218444218e-220,0.7346723839614835
fibroblast,SOCS3,26.96804,4.426354177116993e-220,0.8072293688407433
fibroblast,S100A6,-5.63925,4.972822762322598e-220,0.997291807718348
fibroblast,SASH1,19.35561,6.44741613837928e-219,0.678138870081998
fibroblast,COL5A2,10.006826,6.0319804156412124e-217,0.6825020687579929
fibroblast,COL4A1,25.080654,3.49609348104185e-215,0.6722711201384187
fibroblast,AKAP12,3.6738038,1.3797552329427864e-214,0.6913789212367412
fibroblast,NR4A1,37.629166,4.370832813216883e-214,0.8127209809674265
fibroblast,PCOLCE2,27.556265,2.5523110429624427e-213,0.6834800270819228
fibroblast,CAV1,26.883308,8.396651604062463e-213,0.6721958925750395
fibroblast,PLPP1,14.961634,2.509319611864558e-212,0.6926577898141879
fibroblast,MMP14,9.751602,6.321284528928601e-211,0.6695629278567667
fibroblast,FCGRT,-9.828937,8.08053752578646e-211,0.8791469194312796
fibroblast,HTRA3,23.127216,1.716229634532362e-210,0.6842699164974047
fibroblast,TNS2,8.8440075,2.010807108051228e-210,0.6674565560821485
fibroblast,ELN,12.588378,1.471040591186225e-209,0.684044233807267
fibroblast,COX7A1,6.548606,4.287218870183887e-208,0.6794177386594448
fibroblast,JUNB,65.16722,3.196183450506876e-205,0.9373730534867976
fibroblast,SMIM14,4.344258,6.778197914905428e-203,0.7897765741367637
fibroblast,IFITM3,53.014755,9.276025664174954e-202,0.9874746106973595
fibroblast,LARP6,12.29808,1.7939077258198328e-201,0.654442187617543
fibroblast,GAS6,8.246569,1.9417984883485973e-200,0.6927330173775671
fibroblast,ADIRF,13.427552,2.4431100589831724e-198,0.6434589633641766
fibroblast,MEG3,19.0992,8.145858490386806e-198,0.764312043932897
fibroblast,PDGFRL,46.064625,5.858324735596011e-197,0.6397728127585948
fibroblast,HSPG2,2.0950668,2.2951420729961112e-196,0.7408034303768901
fibroblast,CPE,29.279984,2.403688805512166e-196,0.6393966749416986
fibroblast,CYP4B1,38.201893,1.1681912344516619e-194,0.6366884826600466
fibroblast,LAMB1,10.824407,3.530692823854334e-194,0.6641841570751523
fibroblast,CYB5A,-8.40984,7.98983524579709e-194,0.8222748815165877
fibroblast,ACKR3,11.33618,5.189507853160133e-193,0.6691115624764914
fibroblast,CD63,-63.303925,6.2939715925626365e-192,0.9894305273452193
fibroblast,TAGLN,29.46625,3.2533565515802615e-191,0.6336417663431881
fibroblast,C7,73.49915,6.703862064663675e-190,0.6295418641390206
fibroblast,LPP,5.7183933,1.1850725645939805e-189,0.8024900323478522
fibroblast,RND3,24.799107,3.350499309470778e-189,0.6277364026179192
fibroblast,SLIT3,14.466294,5.164906409843125e-187,0.6261942375686451
fibroblast,TSPAN4,-14.10564,6.715105138703675e-187,0.7627322651019334
fibroblast,LTBP4,-6.972338,1.3307754581297906e-186,0.7977130820732716
fibroblast,GNG12,16.452217,1.3425312326473647e-186,0.6235236590686828
fibroblast,ATF3,36.95728,1.7909533917278275e-186,0.7240652975250131
fibroblast,THBS2,18.926561,2.3505651159177547e-186,0.6258933273151283
fibroblast,PPIC,17.693056,2.8655658890072946e-186,0.6237117279771308
fibroblast,BCL6,12.448097,5.45308623791067e-186,0.6699014518919733
fibroblast,GFPT2,25.191595,1.0400481567146841e-185,0.6261942375686451
fibroblast,ECM1,11.677805,3.288797961983576e-185,0.6287519747235387
fibroblast,SFRP2,73.68374,4.799440570024672e-185,0.6200631911532386
fibroblast,LTBP2,20.68335,5.5290230671920914e-185,0.6228842247799594
fibroblast,TWIST2,34.854404,7.568790459523077e-185,0.6197246671180321
fibroblast,AXL,17.824326,9.656931296629695e-184,0.6271345821108855
fibroblast,F3,12.480111,1.0282999589684424e-182,0.6233732039419243
fibroblast,CAVIN1,-16.228928,1.0753191199806021e-181,0.8876852478748213
fibroblast,LPAR1,14.392633,1.1000894774313701e-181,0.6180696607236892
fibroblast,PALLD,4.952125,1.5527426641043261e-180,0.6904761904761905
fibroblast,FAM114A1,4.4297094,2.644407324716191e-180,0.6370270066952531
fibroblast,GPRC5A,40.17125,2.928468418038383e-180,0.6140073723012112
fibroblast,RRAS,8.477309,9.712870621527667e-180,0.7169939065673663
fibroblast,F10,36.494965,1.2395550144829246e-178,0.6091928082449409
fibroblast,H2AFJ,-11.214094,4.8805098319010587e-178,0.8731663281426315
fibroblast,SAMHD1,8.137113,4.1370382125670604e-176,0.7186489129617092
fibroblast,MAOA,5.890874,7.569744601150022e-176,0.6451515835402092
fibroblast,ANXA5,-32.784966,1.5337360613018453e-175,0.9124351162265855
fibroblast,ZCCHC24,9.472892,1.6187982946703047e-175,0.6247649138644399
fibroblast,ANGPTL1,15.0346155,1.667945862981711e-175,0.606672684871737
fibroblast,ADAMTS5,12.204136,2.2608912603560663e-175,0.6085157601745279
fibroblast,OGN,9.510521,5.19808340647183e-174,0.6181448882870684
fibroblast,TMEM45A,7.9827414,7.290036671403681e-174,0.6287895885052284
fibroblast,LAMB2,9.283271,2.3527682773350585e-172,0.6765590912510344
fibroblast,ZFP36,40.20355,2.7244875112507284e-172,0.9418867072895509
fibroblast,LMO3,17.343367,1.7742060762269901e-171,0.5976077634845407
fibroblast,PXDC1,10.156019,3.64501925121747e-171,0.6144587376814865
fibroblast,MAP1LC3A,4.9323587,4.311910804745715e-171,0.6523734296246144
fibroblast,SLPI,41.492607,4.636877195561183e-169,0.630181298427744
fibroblast,TMEM176B,9.710916,6.507626450855934e-169,0.6172045437448281
fibroblast,GAS7,5.095009,3.4320714777029925e-168,0.638682013089596
fibroblast,CTTN,9.953812,8.995338153454837e-168,0.6169036334913112
fibroblast,PTPRG,11.10864,1.5846617181448676e-167,0.5979086737380577
fibroblast,NEXN,3.494943,1.0299606593349162e-165,0.6249905965545776
fibroblast,ITGB5,15.913956,1.5637512826486926e-165,0.5889565936959302
fibroblast,DPT,45.086693,1.7117909545859357e-165,0.5862860151959678
fibroblast,NR2F2,14.313212,3.5804268687552434e-165,0.5865493116677951
fibroblast,CAMK2N1,12.399182,9.15532989650211e-165,0.5858346498156924
fibroblast,SSPN,-3.6584384,9.803747864248315e-165,0.6389453095614233
fibroblast,NFIA,-34.024334,1.127622959613513e-164,0.892161287895885
fibroblast,SRPX2,10.325903,6.027291092944802e-164,0.6012939140901227
fibroblast,SNTB2,2.8837903,8.36006959998177e-164,0.6341307455051531
fibroblast,SQSTM1,-2.3430433,2.402303865351792e-163,0.9380501015572106
fibroblast,PROCR,17.804857,1.3147820554565756e-162,0.5908372827804107
fibroblast,AC080038.1,4.474524,2.7189663398948916e-161,0.6218686526743399
fibroblast,LOX,10.335051,2.450475086561286e-158,0.6074625742872188
fibroblast,DSTN,-16.301899,3.13428741852526e-158,0.9436921688106522
fibroblast,RHOQ,-4.0529246,1.891302585921292e-155,0.7604378244188671
fibroblast,COPZ2,5.399697,1.107159650747341e-154,0.5879786353720003
fibroblast,PKDCC,14.150643,1.2610390444048382e-154,0.5675167381328519
fibroblast,KANK2,5.2852216,7.818959644214917e-154,0.6795305800045136
fibroblast,SELENBP1,9.035117,1.5532295871344705e-153,0.5826374783720756
fibroblast,PLIN2,-4.378787,4.82364979342542e-153,0.8322801474460242
fibroblast,TPM2,6.431657,1.6864109979673912e-152,0.6691867900398706
fibroblast,SFRP1,36.86443,1.361042068327094e-150,0.5592040923794478
fibroblast,FILIP1L,3.4804823,1.8895651261561281e-150,0.5859098773790717
fibroblast,CFH,3.5809858,3.1144278750669345e-150,0.7889866847212819
fibroblast,NFIL3,5.297004,3.2393773492633207e-149,0.7557737154893553
fibroblast,SGCE,6.691242,1.743180085182605e-148,0.5716166403370195
fibroblast,NPR1,35.95778,3.678843025155872e-148,0.5546528247950049
fibroblast,IER3,24.072659,1.2339547885776803e-147,0.6108478146392838
fibroblast,EGR1,9.835503,7.965021055353487e-147,0.8931768600015045
fibroblast,TMEM176A,6.486773,3.3894731169379807e-146,0.5601820507033777
fibroblast,ACVRL1,11.706246,4.146694561023124e-146,0.5536372526893854
fibroblast,RNH1,-5.401139,5.992633327948789e-146,0.8638004965019183
fibroblast,MAFF,5.860791,6.81184939986724e-146,0.6507560370119612
fibroblast,CLMP,2.982861,3.278332275485483e-145,0.5549913488302114
fibroblast,PDPN,19.697088,1.0770430745628396e-144,0.548935529978184
fibroblast,PCDH18,13.298575,1.7788651767813475e-144,0.5493492815767698
fibroblast,RHOBTB3,-9.886466,2.1431250686042112e-144,0.8255472805235838
fibroblast,REEP5,-9.776812,2.9449017452824597e-144,0.7765741367637102
fibroblast,LAPTM4A,-134.39417,5.978145285275143e-144,0.9663732791694877
fibroblast,ITGB1,-7.8954654,1.1739905066091423e-143,0.8883246821635448
fibroblast,EPB41L2,-3.116465,1.3340115941276266e-143,0.6838937786805085
fibroblast,BOC,33.248714,5.242202948150496e-143,0.544873241555706
fibroblast,VIM,13.008436,6.732048687614888e-143,0.9982697660422779
fibroblast,SNX9,-2.057644,1.1600930323699703e-141,0.7237267734898066
fibroblast,ZFHX3,-7.963442,8.43692228992278e-141,0.6829534341382683
fibroblast,GPX8,12.136049,1.2944197169134097e-140,0.5430677800346047
fibroblast,PHLDB1,4.7919083,2.514355675918101e-140,0.5587903407808621
fibroblast,APCDD1,13.131905,5.909170993671175e-140,0.5447227864289476
fibroblast,FKBP10,7.8163085,1.5184447700170393e-139,0.5585646580907244
fibroblast,METRNL,4.8938313,5.705056209584429e-139,0.6259309410968179
fibroblast,FYN,6.2381763,3.0477365402690834e-138,0.698638381102836
fibroblast,LAMA4,13.538056,2.213495503916643e-136,0.5373128714360942
fibroblast,JDP2,3.1517663,3.910987279233454e-136,0.6512450161739262
fibroblast,OSR2,50.7461,4.5970028932457254e-135,0.5294515910629655
fibroblast,GGT5,17.194235,1.067358138289595e-134,0.533175355450237
fibroblast,RARRES1,48.35462,1.355543767450359e-134,0.556571127661175
fibroblast,THBS1,26.85185,3.367159075510981e-134,0.5835402091326262
fibroblast,ANGPTL2,14.784385,5.870898069441763e-133,0.526216805837659
fibroblast,BGN,44.68951,6.8202766392265044e-133,0.5251636199503498
fibroblast,NCKAP1,5.378154,5.203169701784399e-132,0.5516061084781464
fibroblast,MTCH1,-2.2310233,6.736046504945781e-132,0.8407432483261867
fibroblast,BAG3,13.554786,7.900992279360884e-132,0.5838411193861431
fibroblast,PTGR1,4.4292574,1.3955816622682493e-131,0.5645452493793726
fibroblast,COL14A1,7.7759366,2.0727980803518095e-131,0.5398329948092981
fibroblast,CXCL14,60.59541,5.185591929610275e-131,0.5221545174151809
fibroblast,SCPEP1,8.233095,6.541463233063178e-131,0.7049574964266907
fibroblast,PARVA,14.498277,2.2157851700836084e-130,0.5211389453095614
fibroblast,DSE,-2.4169192,4.491366261323791e-130,0.705408861806966
fibroblast,ANG,5.446615,9.915472515114644e-130,0.5441585797036034
fibroblast,SGCB,6.3138037,1.275808933103714e-129,0.5391183329571955
fibroblast,SERPINH1,3.973285,1.3124233724993714e-129,0.6270969683291958
fibroblast,TEAD1,11.252108,1.8237095698451678e-128,0.5186940494997367
fibroblast,ASPH,-5.489413,4.791461854578115e-128,0.8038441284886783
fibroblast,SEPT10,11.638983,9.227774438607925e-128,0.5168509741969458
fibroblast,ZNF503,6.216879,2.5895188051796665e-127,0.542842097344467
fibroblast,LGMN,12.544473,2.2184054849644815e-126,0.556872037914692
fibroblast,HIC1,8.046964,3.886412535398407e-126,0.5181298427743926
fibroblast,EPAS1,10.161127,6.726993655139556e-126,0.5223802001053186
fibroblast,S100A16,14.895018,1.0108187632344239e-125,0.5145565335138795
fibroblast,ADD3,-10.386007,1.5678758572762928e-125,0.8413450688332205
fibroblast,COL16A1,10.35104,4.5526540227226693e-125,0.5153464229293613
fibroblast,NTRK2,14.925762,6.007664638126898e-125,0.5139547130068457
fibroblast,PI16,38.49137,7.545498496350829e-125,0.5105694726547807
fibroblast,OSMR,12.120731,8.532846404556274e-124,0.5095539005491612
fibroblast,VASN,9.611046,3.536795047826782e-123,0.5077860528097495
fibroblast,BICC1,4.2910957,1.3465929936147342e-122,0.536372526893854
fibroblast,PCYOX1,4.8449063,3.2174040841716276e-122,0.6706537275257655
fibroblast,MYO1C,3.997431,1.0454637234900761e-121,0.5186188219363574
fibroblast,HNMT,2.1526074,1.2083371644092105e-121,0.5380275332881967
fibroblast,CYP1B1,26.532942,4.992599982548999e-121,0.5032347852253065
fibroblast,JUN,17.684608,3.446017540715263e-120,0.9584743850146694
fibroblast,KLF2,5.0577903,6.650481591814736e-120,0.8039945836154367
fibroblast,MGST3,-15.480848,8.868445956179737e-120,0.859963890769578
fibroblast,P4HA2,11.174887,1.1427689442998489e-119,0.5127510719927781
fibroblast,SERTAD1,3.8442502,1.5931940312354922e-119,0.6212292183856165
fibroblast,CHRDL1,5.379769,3.837206303572555e-119,0.5241856616264199
fibroblast,CSF1,-6.7884655,9.262116630708613e-119,0.6037011961182577
fibroblast,ABCA1,-4.438165,1.029955289945967e-118,0.5877905664635522
fibroblast,VGLL3,11.283872,1.044639250043237e-118,0.5013164823591364
