cell_type,gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
HSC,ARTN,180.76762,1.7158914,0.0,0.0,0.9664244669231135,0.0018430753027909425
HSC,ZNF723,180.76326,0.6369271,0.0,0.0,0.9643349005081445,0.0007898894154818325
HSC,TEX54,180.7424,0.31535044,0.0,0.0,0.9640024694875813,0.0006770480704129993
HSC,TVP23C-CDRT4,180.74237,0.53597605,0.0,0.0,0.9640024694875813,0.0006770480704129993
HSC,BORCS8-MEF2B,180.67694,0.6013156,0.0,0.0,0.9647623118202973,0.0012412547957571655
HSC,OR9H1P,180.64328,0.120929755,0.0,0.0,0.9642874103623498,0.0010907996689987212
HSC,ST20-MTHFS,180.61949,0.033298105,0.0,0.0,0.9643823906539393,0.0012036410140675543
HSC,CHURC1-FNTB,180.60265,0.42374754,0.0,0.0,0.964809801966092,0.001466937485894832
HSC,POC1B-GALNT4,180.54915,0.22780359,0.0,0.0,0.9645248610913235,0.001466937485894832
HSC,ZNF559-ZNF177,180.53731,0.06335182,0.0,0.0,0.964239920216555,0.0013540961408259986
HSC,TREX1,180.53432,0.52071637,0.0,0.0,0.9646673315287078,0.001579778830963665
HSC,SLX1B,180.50484,0.51896805,0.0,0.0,0.9649522724034763,0.0018054615211013315
HSC,CYP2D7,180.47191,0.016804855,0.0,0.0,0.9643349005081445,0.001579778830963665
HSC,CXCR3,180.45325,0.96898675,0.0,0.0,0.9643823906539393,0.0016550063943428872
HSC,PPIAL4A,180.40692,0.90010655,0.0,0.0,0.9677541910053664,0.00349808169713383
HSC,ADCYAP1,180.3561,0.07619265,0.0,0.0,0.9643823906539393,0.0019183028661701647
HSC,P2RX5-TAX1BP3,180.21016,0.3633698,0.0,0.0,0.965379683715629,0.0028210336267208303
HSC,JMJD7-PLA2G4B,180.20918,0.038981747,0.0,0.0,0.9648572921118868,0.002557737154893553
HSC,NUTM2D,180.19997,0.014364066,0.0,0.0,0.9642874103623498,0.0022944406830662754
HSC,NME1-NME2,180.1866,0.41300187,0.0,0.0,0.964809801966092,0.002595350936583164
HSC,GNG5P2,180.1749,0.112755634,0.0,0.0,0.9670418388184452,0.0037613781689611074
HSC,DERPC,180.15245,0.81720877,0.0,0.0,0.9664719570689082,0.003535695478823441
HSC,DIPK1C,180.12341,0.43142956,0.0,0.0,0.964619841382913,0.002670578499962386
HSC,CKLF-CMTM1,180.10242,0.013866627,0.0,0.0,0.9642874103623498,0.002557737154893553
HSC,PPAN-P2RY11,180.01324,0.32170624,0.0,0.0,0.9651422329866552,0.0032347852253065525
HSC,CEACAM6,179.96684,1.4380568,0.0,0.0,0.9655221541530132,0.003610923042202663
HSC,JPH1,179.64395,0.08110921,0.0,0.0,0.9645723512371183,0.0039494470774091624
HSC,HTD2,179.62666,0.24741805,0.0,0.0,0.9653321935698342,0.004400812457684496
HSC,SPDYE18,179.62355,0.25946417,0.0,0.0,0.9652847034240395,0.004400812457684496
HSC,NDUFC2-KCTD14,179.61461,0.50508106,0.0,0.0,0.9665669373604977,0.0050778605280974946
HSC,BCL2L10,179.59848,0.18808462,0.0,0.0,0.964619841382913,0.004099902204167607
HSC,OR52N1,179.57373,0.024484597,0.0,0.0,0.9645723512371183,0.004137515985857218
HSC,ZDHHC19,179.56169,0.0046103676,0.0,0.0,0.9644773709455288,0.004137515985857218
HSC,TNFRSF18,179.40483,0.97197217,0.0,0.0,0.9660920359025502,0.005378770781614383
HSC,HMGB1P1,178.986,0.6629128,0.0,0.0,0.9699387377119247,0.008575942225231325
HSC,SUCNR1,178.58394,0.60986537,0.0,0.0,0.9666619176520872,0.007898894154818325
HSC,CD274,178.2545,0.57097733,0.0,0.0,0.9666619176520872,0.008801624915368992
HSC,SHD,178.20749,2.6200125,0.0,0.0,0.9505627582276678,0.0007146618521026104
HSC,LTF,178.06581,0.33042625,0.0,0.0,0.966519447214703,0.009290604077333935
